#SysTm EventTmStmp Ori:x Ori:y Ori:z
42085094366318 42085089254000 3.136596 -0.09120878 -0.03923787 
42085178063693 42085156001000 -3.1393018 -0.09534553 -0.090291046 
42085226317485 42085222570000 3.1259563 -0.13614886 -0.1392432 
42085293061235 42085289222000 3.129586 -0.024876475 -0.05015759 
42085360624278 42085356000000 3.1039138 -0.16416709 -0.11519361 
42085426618236 42085422579000 3.0901456 -0.05260096 -0.13440806 
42085559724652 42085555910000 3.0556424 -0.10727414 -0.08814497 
42085629401610 42085623094000 3.0397196 -0.13650498 -0.046756364 
42085692885194 42085689242000 3.0020084 -0.14504398 -0.123312585 
42085760998028 42085755906000 2.9929688 -0.0826723 -0.046089586 
42085828384319 42085822590000 2.9891255 -0.14240615 -0.07132169 
42085896664443 42085889298000 2.9484618 -0.15263404 -0.03437151 
42085961683860 42085956224000 2.9533672 -0.1063822 -0.019534076 
42086028806902 42086022760000 2.9749217 -0.09839911 -0.05980938 
42086096620444 42086089744000 2.960967 -0.15049922 0.029377079 
42086162407320 42086155983000 2.9776974 -0.13206786 0.012184574 
42086226809028 42086222579000 2.9973674 -0.12937395 0.027541997 
42086293162986 42086289247000 3.0104136 -0.1594234 0.037986696 
42086365252237 42086355920000 3.0351021 -0.17006181 0.034407075 
42086427475153 42086422647000 3.0353186 -0.19376102 0.053023268 
42086493695277 42086489271000 3.0515046 -0.16206606 0.039940063 
42086561053986 42086555935000 3.086896 -0.20764549 -0.022125693 
42086627944569 42086622637000 3.082395 -0.1992088 0.072399236 
42086695320820 42086689298000 3.090202 -0.19326794 -0.0015374639 
42086759999319 42086755915000 3.1140642 -0.1797594 -0.054164484 
42086827913403 42086822608000 3.0948539 -0.2004389 -0.01322882 
42086895294736 42086889332000 3.095742 -0.18590277 -0.06100466 
42086960255986 42086955918000 3.0907943 -0.1912511 -0.07464753 
42087027497444 42087022622000 3.0821812 -0.20857161 -0.079085015 
42087095174611 42087089302000 3.0669677 -0.22582184 -0.063646294 
42087161777820 42087155998000 3.0654142 -0.23074694 -0.055734545 
42087227782445 42087222608000 3.0467927 -0.24466506 -0.012946388 
42087297278237 42087289796000 3.0653045 -0.21950914 -0.0409394 
42087362240695 42087355974000 3.0448382 -0.28266063 -0.0069922046 
42087426524862 42087422589000 3.028319 -0.2501484 0.035057943 
42087493240945 42087489271000 3.0482268 -0.2469292 -0.035129447 
42087561435445 42087556091000 3.064877 -0.22675243 -0.00220078 
42087630909612 42087622667000 3.0712354 -0.24952835 0.011221034 
42087695226737 42087690062000 3.090919 -0.21353273 -0.026247237 
42087762735737 42087755977000 3.120512 -0.21333574 -0.038698275 
42087829205612 42087822639000 3.1221917 -0.23835176 -0.016930543 
42087896881945 42087889430000 3.1348462 -0.25096446 -0.03887585 
42087960833112 42087955976000 3.140406 -0.2582423 -0.0037777475 
42088027442195 42088022647000 -3.11361 -0.24519132 -0.039847553 
42088095754154 42088089353000 -3.0909984 -0.2924516 -0.023315644 
42088159822945 42088155936000 -3.0969794 -0.2557988 -6.1411504E-4 
42088229600195 42088222636000 -3.069365 -0.260619 -0.088530555 
42088299729445 42088290204000 -3.0778506 -0.2514249 -0.021303222 
42088362392237 42088356054000 -3.0925741 -0.26801974 -0.069901906 
42088426541196 42088422596000 -3.105258 -0.2526882 -0.05808198 
42088493447737 42088489268000 -3.1096103 -0.26165885 -0.045440223 
42088563238821 42088555981000 -3.1269717 -0.27342272 -0.034838077 
42088627120362 42088622618000 3.1208532 -0.2740174 -0.016032591 
42088693704487 42088689260000 3.0997245 -0.26886782 -0.014488968 
42088769544070 42088755976000 3.1278133 -0.2455689 -0.022684714 
42088829033987 42088823429000 3.1168692 -0.30175364 0.03901765 
42088893017362 42088889258000 3.1019228 -0.26524207 0.010564445 
42088959768654 42088955946000 -3.124815 -0.23148766 -0.00965901 
42089026521279 42089022614000 -3.0979865 -0.24999668 0.03291823 
42089094328196 42089089280000 -3.0735495 -0.24531661 0.03913437 
42089161775529 42089156561000 -3.0334444 -0.23072113 0.022739416 
42089227768487 42089222617000 -3.0165772 -0.24904853 0.01613246 
42089298511779 42089289365000 -2.9966078 -0.236792 0.025191084 
42089360638279 42089355925000 -2.9855235 -0.26877382 -0.0141429985 
42089427200613 42089422605000 -2.9792435 -0.25704357 0.009360605 
42089493962154 42089489319000 -2.941291 -0.27174497 -0.039414246 
42089560978071 42089555962000 -2.9515274 -0.32384512 -0.04138058 
42089627617779 42089622658000 -2.9436681 -0.25672024 -0.006595012 
42089694040404 42089689313000 -2.934025 -0.2876229 -0.08025327 
42089761579029 42089755995000 -2.9669995 -0.2897343 -0.05075885 
42089827740904 42089822609000 -2.9908042 -0.26512977 -0.06859088 
42089893699529 42089889301000 -3.0113654 -0.27070075 -0.06799111 
42089961155405 42089956059000 -3.032348 -0.2757784 -0.050501972 
42090030236488 42090022600000 -3.0536466 -0.28076592 -0.047002472 
