#SysTm EventTmStmp Mag:x Mag:y Mag:z
42518167130273 42518165853000 -5.52 -39.12 -14.16 
42518232916315 42518231937000 -5.3399997 -38.94 -14.04 
42518304725606 42518298912000 -5.4 -38.7 -13.74 
42518375185523 42518365617000 -5.46 -38.46 -13.38 
42518452172648 42518432372000 -5.4 -38.04 -13.2 
42518519425523 42518499618000 -5.52 -37.68 -13.0199995 
42518585361357 42518566171000 -5.7 -37.2 -12.96 
42518651302482 42518632953000 -5.64 -36.96 -12.9 
42518717588607 42518699912000 -5.8199997 -36.239998 -12.78 
42518784973398 42518766506000 -5.94 -35.76 -12.719999 
42518852399190 42518834089000 -6.0 -35.34 -12.84 
42518922258065 42518900744000 -6.0 -34.98 -13.0199995 
42518986861273 42518967540000 -6.06 -34.559998 -13.2 
42519068248023 42519034330000 -6.0 -34.079998 -13.32 
42519118076690 42519101024000 -6.0 -33.719997 -13.38 
42519203144898 42519167727000 -5.8199997 -33.48 -13.38 
42519251656149 42519234534000 -5.7599998 -33.42 -13.38 
42519336053815 42519302512000 -5.7 -33.059998 -13.44 
42519401724190 42519368065000 -5.46 -33.12 -13.62 
42519468346398 42519434740000 -5.16 -33.059998 -13.92 
42519534319815 42519501538000 -4.92 -33.36 -14.04 
42519593789857 42519568312000 -4.44 -33.48 -14.04 
42519635987274 42519634903000 -4.02 -33.719997 -14.16 
42519702748440 42519701684000 -3.78 -33.719997 -14.219999 
42519769453399 42519768436000 -3.3 -33.84 -14.34 
42519836119024 42519835169000 -2.82 -34.14 -14.5199995 
42519902783565 42519901888000 -2.3999999 -34.2 -14.58 
42519969968190 42519968689000 -2.1 -34.44 -14.82 
42520036828315 42520035460000 -1.8 -34.38 -14.82 
42520103492690 42520102199000 -1.62 -34.62 -14.94 
42520170154482 42520169085000 -1.3199999 -34.559998 -15.0 
42520236993857 42520235846000 -1.14 -34.62 -15.299999 
42520303997815 42520302623000 -0.9 -34.62 -15.42 
42520370928190 42520369396000 -0.59999996 -34.739998 -15.54 
42520438685399 42520436345000 -0.35999998 -34.559998 -15.599999 
42520503908690 42520502910000 -0.17999999 -34.62 -15.54 
42520637711607 42520636420000 0.12 -34.44 -15.719999 
42520704214024 42520703189000 0.35999998 -34.32 -15.599999 
42520771378608 42520770102000 0.65999997 -34.32 -15.719999 
42520838255275 42520836756000 0.71999997 -34.2 -15.839999 
42520905094650 42520903606000 0.65999997 -33.96 -15.839999 
42520971382275 42520970259000 0.59999996 -33.719997 -15.66 
42521038381025 42521037050000 0.65999997 -33.36 -15.42 
42521104834650 42521103773000 0.59999996 -33.239998 -15.42 
42521171468733 42521170468000 0.71999997 -32.94 -15.42 
42521238167817 42521237188000 0.59999996 -32.76 -15.299999 
42521304897441 42521303959000 0.48 -32.399998 -15.24 
42521372414150 42521370977000 0.17999999 -32.1 -15.36 
42521438388525 42521437484000 -0.12 -31.8 -15.36 
42521505220275 42521504189000 -0.35999998 -31.5 -15.36 
42521572337942 42521571135000 -0.53999996 -31.26 -15.48 
42521639119942 42521637876000 -0.78 -31.019999 -15.42 
42521705928234 42521704676000 -1.02 -30.84 -15.48 
42521772285233 42521771294000 -1.5 -30.66 -15.66 
42521839489442 42521838135000 -1.8 -30.599998 -15.599999 
42521906034484 42521904859000 -2.28 -30.359999 -15.42 
42521972915733 42521971612000 -2.58 -30.119999 -15.36 
42522039600608 42522038379000 -2.8799999 -30.0 -15.66 
42522106320609 42522105147000 -3.54 -29.939999 -15.96 
42522172868650 42522171809000 -4.2 -29.82 -16.199999 
42522239606817 42522238539000 -4.74 -29.58 -16.44 
42522306770567 42522305463000 -5.46 -29.4 -16.68 
42522373201942 42522372085000 -6.24 -29.22 -16.859999 
42522439981775 42522438834000 -7.14 -28.8 -16.92 
42522506613317 42522505589000 -8.099999 -28.38 -17.1 
42522573347067 42522572291000 -9.36 -27.9 -17.34 
42522640319442 42522639094000 -10.62 -27.359999 -17.58 
42522707622359 42522705925000 -11.7 -26.58 -18.0 
42522777155317 42522776179000 -12.84 -25.8 -18.18 
42522843893025 42522842958000 -13.98 -24.96 -18.24 
42522911502317 42522909729000 -15.179999 -23.939999 -18.42 
42522977583692 42522976457000 -16.38 -22.98 -18.72 
42523044693109 42523043314000 -17.58 -22.26 -19.02 
42523111990442 42523110295000 -18.779999 -21.24 -19.08 
42523178601984 42523176873000 -19.74 -20.039999 -19.08 
42523244689609 42523243548000 -20.82 -18.84 -19.26 
42523311794359 42523310487000 -21.72 -17.4 -19.26 
42523378462650 42523377031000 -22.56 -15.96 -19.38 
42523445843442 42523444139000 -23.34 -14.46 -19.619999 
42523512229484 42523510900000 -23.76 -13.0199995 -19.98 
42523578866275 42523577525000 -24.24 -11.58 -20.22 
42523645972276 42523644705000 -24.539999 -10.26 -20.52 
42523712563109 42523711105000 -24.72 -8.82 -20.699999 
42523778844901 42523777794000 -25.019999 -7.8599997 -20.88 
42523845849069 42523844568000 -25.14 -6.72 -21.0 
42523912476402 42523911300000 -25.08 -5.8199997 -21.3 
42523979065818 42523978066000 -25.08 -4.7999997 -21.539999 
42524045774985 42524044800000 -25.08 -3.8999999 -21.72 
42524112591068 42524111556000 -24.96 -2.8799999 -21.779999 
