#SysTm EventTmStmp Pressure
521169018912554 1379848333346353688 992.4346 
521169056940938 1379848333410257497 992.5845 
521169120514875 1379848333472971120 992.6444 
521169182867995 1379848333536203542 992.55444 
521169253644737 1379848333600412526 992.61444 
521169332356780 1379848333663461843 992.55444 
521169393458564 1379848333727731862 992.3746 
521169456940938 1379848333790886682 992.4945 
521169524726686 1379848333855004114 992.4945 
521169588025938 1379848333918022913 992.61444 
521169651935597 1379848333982109827 992.55444 
521169703789709 1379848334045159143 992.61444 
521169755460700 1379848334108757776 992.7044 
521169819492441 1379848334171929163 992.5845 
521169882517010 1379848334235863489 992.55444 
521169957200361 1379848334299065393 992.5245 
521170082486489 1379848334363426965 992.6444 
521170091367918 1379848334426567834 992.61444 
521170140139474 1379848334490135950 992.5845 
521170205697234 1379848334553337854 992.6444 
521170264662593 1379848334617333215 992.5245 
521170338918657 1379848334680809778 992.4945 
521170402767278 1379848334744896692 992.6444 
521170484043028 1379848334807976526 992.55444 
521170543832439 1379848334872032922 992.5845 
521170605575151 1379848334935112756 992.55444 
521170710351589 1379848334999199670 992.5845 
521170728389129 1379848335062279504 992.5245 
521170790986413 1379848335125817102 992.55444 
521170844549668 1379848335189019006 992.40454 
521170965440861 1379848335252953333 992.40454 
521170976031430 1379848335316155237 992.5245 
521171026908894 1379848335380089563 992.40454 
521171089628259 1379848335442283432 992.5245 
521171156162672 1379848335508262436 992.4945 
521171247296504 1379848335574455063 992.55444 
521171282944298 1379848335635093491 992.5245 
521171346609794 1379848335699943344 992.4346 
521171409359682 1379848335762473862 992.5245 
521171472628414 1379848335825797837 992.40454 
521171543222035 1379848335889732163 992.55444 
521171618027468 1379848335953544419 992.5245 
521171666615900 1379848336018821518 992.40454 
521171726771553 1379848336079948227 992.5245 
521171790803294 1379848336143882553 992.5245 
521171862159924 1379848336207084458 992.55444 
521171916577747 1379848336269080327 992.55444 
521171980945212 1379848336333991215 992.4346 
521172046869215 1379848336400183842 992.4945 
521172115387452 1379848336461035893 992.4945 
521172184912861 1379848336526312993 992.5245 
521172257673428 1379848336588477299 992.4346 
521172301103918 1379848336652655766 992.4346 
521172362571947 1379848336715674565 992.5845 
521172426512127 1379848336779608891 992.5845 
521172497410953 1379848336843695805 992.4346 
521172564983056 1379848336908454106 992.61444 
521172644671748 1379848336970679448 992.4346 
521172708489847 1379848337034278081 992.4945 
521172768828623 1379848337095984624 992.5245 
521172857581866 1379848337161261723 992.5245 
521172874093388 1379848337226294682 992.40454 
521172935042572 1379848337288214848 992.5245 
521172999410039 1379848337351630376 992.4945 
521173071956963 1379848337415351079 992.4346 
521173137484202 1379848337478491948 992.4945 
521173212472755 1379848337542731450 992.5245 
521173261518994 1379848337605750249 992.4945 
521173329213179 1379848337669531987 992.4945 
