#SysTm EventTmStmp Pressure
41938886347540 41938886119000 996.04126 
41938963586165 41938956071000 996.21936 
41939032545624 41939025837000 996.09204 
41939095874374 41939095583000 996.0878 
41939166088915 41939165632000 996.10004 
41939236020833 41939235654000 996.12195 
41939305980458 41939305607000 996.1438 
41939375869666 41939375574000 996.0591 
41939446009417 41939445619000 996.1577 
41939515881917 41939515590000 996.04675 
41939586027667 41939585632000 996.0891 
41939656188667 41939655669000 996.1062 
41939726080500 41939725632000 996.19653 
41939797084250 41939795620000 996.18024 
41939867005249 41939865763000 996.1223 
41939935912791 41939935564000 996.11993 
41940005855874 41940005573000 996.1508 
41940078500374 41940075658000 996.12366 
41940145778499 41940145575000 996.1252 
41940217351291 41940215636000 996.14233 
41940286433458 41940286133000 996.1007 
41940356362958 41940355618000 996.06244 
41940428685833 41940425595000 996.0854 
41940497615167 41940495611000 996.16986 
41940565931083 41940565638000 996.12866 
41940635890792 41940635586000 996.10046 
41940706045458 41940705646000 996.14545 
41940775919458 41940775590000 996.1775 
41940845895166 41940845591000 996.07153 
41940915866708 41940915573000 996.00037 
41940986008041 41940985598000 996.0332 
41941056009625 41941055647000 996.0187 
41941125912166 41941125608000 996.0328 
41941196169792 41941195678000 996.22473 
41941266112209 41941265638000 996.2211 
41941335929459 41941335575000 996.1461 
41941406010417 41941405600000 996.1945 
41941475984917 41941475615000 996.1997 
41941545821459 41941545583000 996.1807 
41941616840709 41941616436000 996.11694 
41941687636876 41941685690000 996.1098 
41941766097251 41941755601000 996.21533 
41941830203543 41941825571000 996.2127 
41941905844876 41941897292000 996.11255 
41941981307543 41941965593000 996.26105 
41942054656542 41942035604000 996.1108 
41942124275251 41942105608000 996.15344 
41942195467876 41942175755000 996.22925 
41942265552751 41942245665000 996.1561 
41942414896917 41942315714000 996.1012 
41942427273793 41942386306000 996.19635 
41942481438751 41942455583000 996.1685 
41942538145126 41942525608000 996.2025 
41942600907418 41942595595000 996.0547 
41942672256209 41942666186000 996.23846 
41942749509792 41942735587000 996.1296 
