#SysTm EventTmStmp Rot:x Rot:y Rot:z
194251694001243 1378670078986638196 0.32207564 -0.20188656 -0.6026578 
194251776436769 1378670079050603040 0.3216238 -0.20225239 -0.60188884 
194251836104097 1378670079113774427 0.3217513 -0.20212999 -0.6016089 
194251890949205 1378670079177739270 0.32154828 -0.20220543 -0.6015228 
194251945702754 1378670079240910657 0.3211831 -0.20197806 -0.60149574 
194252009215648 1378670079304661878 0.32138708 -0.20165287 -0.60140634 
194252094275926 1378670079368030983 0.32142007 -0.20169844 -0.60116845 
194252210833228 1378670079432026344 0.32142138 -0.20125724 -0.60142154 
194252261588608 1378670079495167213 0.32255358 -0.20063126 -0.60101384 
194252311367335 1378670079559132057 0.3224884 -0.20100665 -0.6000763 
194252362885724 1378670079622333962 0.32224616 -0.20039082 -0.6006576 
194252412389768 1378670079686268288 0.32260227 -0.20053162 -0.6003573 
194252464121798 1378670079749439674 0.32251135 -0.20053968 -0.6004415 
194252543078003 1378670079813465553 0.3223238 -0.20012818 -0.600916 
194252654385799 1378670079876606422 0.322974 -0.19989257 -0.6003874 
194252702119662 1378670079940571266 0.32306394 -0.19934918 -0.60052437 
194252767341698 1378670080003742653 0.32281324 -0.19935928 -0.6002066 
194252853805912 1378670080067676979 0.32322428 -0.19860435 -0.60025036 
194252939812322 1378670080194813210 0.32410726 -0.19858329 -0.5985209 
194252994169106 1378670080258015114 0.32415652 -0.19822003 -0.59840477 
194253065891980 1378670080321949440 0.32500568 -0.19801392 -0.5976631 
194253245931656 1378670080385212379 0.32521808 -0.19790773 -0.5972958 
194253361146061 1378670080512318092 0.32621896 -0.19738771 -0.5970388 
194253445565411 1378670080703388649 0.32665616 -0.19703603 -0.5970118 
194253526688562 1378670080766560036 0.32703868 -0.19699061 -0.59662783 
194253573232129 1378670080830524879 0.32697007 -0.1968275 -0.5966948 
194253629938982 1378670080893696266 0.3266843 -0.19712257 -0.59626853 
194253678741057 1378670080957630592 0.32647422 -0.19686797 -0.5963557 
194253771461949 1378670081020892286 0.3260496 -0.1965048 -0.596517 
194253820141942 1378670081084857129 0.3259621 -0.19679917 -0.59588283 
194253869340782 1378670081148028516 0.3259398 -0.19637242 -0.59599626 
194253920981252 1378670081211932325 0.32530946 -0.19647747 -0.59611785 
194253980465457 1378670081275164747 0.32445467 -0.19674419 -0.5961797 
194254054691004 1378670081339099073 0.32505637 -0.19647583 -0.595893 
194254109352990 1378670081402300977 0.32461524 -0.1968756 -0.59562284 
194254170515816 1378670081466265821 0.3240877 -0.19701268 -0.59576386 
194254236073576 1378670081529406690 0.324003 -0.19708379 -0.595676 
194254315304463 1378670081593371534 0.3236353 -0.19732894 -0.59557056 
194254362794161 1378670081656573438 0.32325667 -0.19688863 -0.59629816 
194254423682306 1378670081720538282 0.32311594 -0.19727798 -0.5959124 
194254488690698 1378670081783709668 0.32338524 -0.196875 -0.596137 
194254599754333 1378670081847643995 0.32287446 -0.19698493 -0.59627724 
194254666899152 1378670081910845899 0.32246578 -0.19699855 -0.59642535 
194254720523446 1378670081974780225 0.32279196 -0.19673216 -0.5964557 
194254774575026 1378670082037982129 0.3226933 -0.19703165 -0.59619206 
194254857956683 1378670082101946973 0.3229522 -0.1967579 -0.59627247 
194254949151555 1378670082165118360 0.32303286 -0.19651684 -0.59630585 
194255031922805 1378670082229083204 0.32247904 -0.19662888 -0.59636694 
194255108162696 1378670082356219434 0.3225843 -0.19624251 -0.59658104 
194255157147893 1378670082419390821 0.32265875 -0.1966458 -0.5960813 
194255206804538 1378670082483355665 0.32241383 -0.19642004 -0.5966131 
194255257224195 1378670082546527051 0.32309726 -0.19623232 -0.5963645 
194255328702906 1378670082610461377 0.32256693 -0.19672853 -0.596051 
194255377199777 1378670082673663282 0.32258585 -0.19639163 -0.59639263 
194255467112794 1378670082737597608 0.32291797 -0.1964203 -0.5961907 
194255532701074 1378670082800799512 0.32252455 -0.19652726 -0.59631205 
194255580984305 1378670082864764356 0.32261345 -0.1962223 -0.5965312 
194255643886791 1378670082927935743 0.32297102 -0.1959487 -0.5964682 
194255717868174 1378670082991870069 0.3228032 -0.19634162 -0.59600294 
194255774575025 1378670083055071973 0.32278654 -0.19632944 -0.5958363 
194255875261734 1378670083119006299 0.32294124 -0.19571416 -0.5962443 
194255926108675 1378670083182391309 0.32355917 -0.19550358 -0.59589666 
194255978634235 1378670083246173047 0.32350698 -0.1957354 -0.5953112 
194256029694818 1378670083309344434 0.32355395 -0.19542843 -0.59527147 
