#SysTm EventTmStmp Mag:x Mag:y Mag:z
171313917113153 1378637067758329143 -23.039246 6.4193726 -26.939392 
171313972019303 1378637067822232951 -22.979736 6.1798096 -27.059937 
171314030099572 1378637067885434855 -23.2193 6.059265 -26.939392 
171314109727224 1378637067949399699 -23.15979 6.1798096 -26.998901 
171314166861361 1378637068012601603 -23.15979 6.239319 -26.998901 
171314234250343 1378637068076535930 -23.2193 6.298828 -26.879883 
171314300510071 1378637068139737834 -23.278809 6.3598633 -26.879883 
171314359322829 1378637068203656302 -23.278809 6.3598633 -27.178955 
171314417311536 1378637068266858206 -23.15979 6.1187744 -27.119446 
171314475880130 1378637068330823050 -23.278809 6.298828 -27.119446 
171314532495421 1378637068393994437 -23.039246 6.3598633 -27.23999 
171314599762323 1378637068457959281 -23.098755 6.4193726 -26.998901 
171314655797726 1378637068521100150 -23.098755 6.478882 -27.178955 
171315131488249 1378637068585064994 -23.098755 6.3598633 -27.059937 
171315221004502 1378637069029950247 -22.979736 6.6589355 -26.759338 
171315279328933 1378637069093609915 -22.979736 6.7199707 -27.059937 
171315340827484 1378637069156811820 -22.859192 6.7199707 -26.998901 
171315419692125 1378637069220715628 -22.738647 6.7199707 -26.998901 
171315491415001 1378637069283948050 -22.918701 6.7199707 -27.178955 
171315537744926 1378637069347851859 -22.918701 6.7199707 -27.23999 
171315612000991 1378637069411114798 -23.15979 6.7199707 -27.359009 
171315669989699 1378637069475018607 -23.278809 6.5994263 -27.23999 
171315724804288 1378637069538220511 -23.278809 6.4193726 -27.23999 
171315780503966 1378637069602124320 -23.278809 6.4193726 -27.119446 
171315834738669 1378637069665356742 -23.339844 6.539917 -26.998901 
171315893124141 1378637069729321585 -23.339844 6.4193726 -26.998901 
171315952181063 1378637069792462454 -23.2193 6.4193726 -26.939392 
171316009498321 1378637069856700700 -23.098755 6.4193726 -27.178955 
171316096633983 1378637069919872087 -22.979736 6.478882 -27.178955 
171316155355180 1378637069983836931 -22.859192 6.7199707 -27.23999 
171316243253853 1378637070046001237 -23.15979 6.77948 -27.2995 
171316301364641 1378637070110973161 -22.979736 6.77948 -27.2995 
171316360970929 1378637070174144548 -22.918701 6.7199707 -27.418518 
171316424544863 1378637070238750261 -23.098755 6.9595337 -27.479553 
171316485005722 1378637070301311296 -23.15979 7.019043 -27.418518 
171316541315808 1378637070365245622 -22.918701 6.9595337 -27.418518 
171316602417594 1378637070428417009 -22.918701 6.9595337 -27.23999 
171316659887455 1378637070492381853 -22.799683 6.77948 -27.359009 
