#SysTm EventTmStmp Ori:x Ori:y Ori:z
21498605730828 1374855806763550812 -1.9378366 -0.43640602 0.16812669 
21498614123930 1374855806768647247 -1.9377275 -0.43698224 0.16820137 
21498620350086 1374855806773682648 -1.9376518 -0.4374826 0.16823103 
21498627980179 1374855806778657013 -1.9372262 -0.4378978 0.16819689 
21498633748529 1374855806783753449 -1.9371749 -0.43825206 0.16810444 
21498639242196 1374855806788758331 -1.9370823 -0.43856245 0.16799603 
21498644735863 1374855806793824249 -1.9370123 -0.43883988 0.16790359 
21498652671161 1374855806798829132 -1.9366431 -0.43909013 0.16783704 
21498659110959 1374855806803834015 -1.9366052 -0.43933988 0.16779777 
21498664513065 1374855806808899933 -1.9365766 -0.43960604 0.16779071 
21498671013904 1374855806813965851 -1.9365418 -0.43987346 0.16778627 
21498679345966 1374855806817719513 -1.9362134 -0.44006783 0.16779469 
21498686090968 1374855806823975617 -1.9362061 -0.44038543 0.16777642 
21498697078302 1374855806829011017 -1.9362555 -0.44062534 0.1677443 
21498705593486 1374855806834137970 -1.9363173 -0.44085377 0.16768916 
21498712155366 1374855806839081818 -1.9360412 -0.44106597 0.16763432 
21498718228920 1374855806844117218 -1.9361511 -0.44124764 0.16759953 
21498725004442 1374855806849152618 -1.936253 -0.441415 0.16756448 
21498730925394 1374855806854249054 -1.9363369 -0.4415649 0.1675145 
21498739257456 1374855806859223419 -1.9360707 -0.44168854 0.16743575 
21498745544654 1374855806864258820 -1.9362003 -0.44176453 0.16731882 
21498751343524 1374855806869324738 -1.9362987 -0.44181395 0.1671737 
21498757233956 1374855806874390656 -1.9363797 -0.4418309 0.16702262 
21498764314682 1374855806879365021 -1.9361914 -0.4418088 0.16684924 
21498771731133 1374855806884430939 -1.9362733 -0.44176665 0.16665268 
21498779208624 1374855806889466339 -1.9363595 -0.44169682 0.16643836 
21498785495820 1374855806894532257 -1.9364599 -0.44159615 0.16619302 
21498794346728 1374855806899506622 -1.9362811 -0.4414806 0.16594465 
21498800237160 1374855806904542023 -1.9364326 -0.44135603 0.16571803 
21498806188633 1374855806909607941 -1.9366581 -0.4412468 0.16555776 
21498813971327 1374855806914673859 -1.936996 -0.44114205 0.16547966 
21498822181307 1374855806918397003 -1.9370338 -0.44107842 0.16552457 
21498828712667 1374855806924744659 -1.9377378 -0.440922 0.16566662 
21498836007037 1374855806929719025 -1.9384189 -0.4407447 0.16589747 
21498843026724 1374855806934815460 -1.9391627 -0.4405497 0.16627468 
21498851908152 1374855806939820343 -1.9395971 -0.44041595 0.16677861 
21498859965530 1374855806944971841 -1.9403002 -0.4404415 0.16741727 
21498865733880 1374855806950037759 -1.9408653 -0.44073308 0.16814026 
21498872845127 1374855806955103677 -1.9411552 -0.4413594 0.16888845 
21498880200537 1374855806960078042 -1.9408741 -0.44230083 0.16958384 
21498891493074 1374855806965113442 -1.9407209 -0.4435303 0.1701826 
21498898054954 1374855806970148843 -1.9404424 -0.4449506 0.17062953 
21498907882514 1374855806975245278 -1.9400744 -0.446483 0.1708787 
21498929460417 1374855806980219644 -1.9394069 -0.44795564 0.17093126 
21498935198247 1374855806985285562 -1.9391028 -0.44934544 0.17080425 
21498942919901 1374855806990290444 -1.938964 -0.4505028 0.17053318 
21498948474609 1374855806995386880 -1.9389577 -0.4514386 0.17015097 
21498955616376 1374855807000361245 -1.9387196 -0.45210612 0.16972785 
21498960682758 1374855807005427163 -1.9390604 -0.45256227 0.16929154 
21498965474457 1374855807010462564 -1.9395748 -0.452864 0.16886008 
21498971486970 1374855807015528482 -1.9402559 -0.45308268 0.16843362 
21498976736474 1374855807019343179 -1.9404528 -0.45324 0.16814217 
21498981619734 1374855807025538247 -1.9415306 -0.45348683 0.16772795 
21498986808197 1374855807030573648 -1.9424005 -0.45373023 0.1674744 
21498994651932 1374855807035670083 -1.9432682 -0.45400017 0.16725817 
21499001854740 1374855807040613931 -1.9437453 -0.45426077 0.1670371 
21499007073724 1374855807045679849 -1.9445578 -0.45451847 0.16677713 
21499012903115 1374855807050715249 -1.945359 -0.45473936 0.16649215 
21499019129271 1374855807055811685 -1.9461414 -0.4548984 0.16616796 
21499025355427 1374855807060786050 -1.9465092 -0.45498437 0.16579814 
21499031245858 1374855807065821450 -1.9472376 -0.45497 0.16534951 
21499037288892 1374855807070856851 -1.9480076 -0.4548462 0.16484073 
21499042843600 1374855807075953286 -1.94878 -0.4546367 0.16427612 
21499049222357 1374855807080927651 -1.94928 -0.454347 0.16371584 
21499056119962 1374855807086024087 -1.950089 -0.45402247 0.16318741 
21499061583109 1374855807090998452 -1.9508272 -0.45369792 0.1627008 
21499068785917 1374855807096094888 -1.951566 -0.45337987 0.16224243 
21499076232888 1374855807101069253 -1.9519473 -0.45311728 0.16182488 
21499081238229 1374855807106104653 -1.9526364 -0.4528905 0.16143657 
21499089326127 1374855807111140054 -1.9532334 -0.4527334 0.16108313 
21499094667192 1374855807116236489 -1.9537352 -0.45264286 0.16074055 
21499103212896 1374855807119990151 -1.9537177 -0.45262104 0.16047125 
21499108798124 1374855807126246255 -1.9541215 -0.4525976 0.16005117 
21499113681384 1374855807131281655 -1.9542875 -0.45258865 0.15966813 
21499123661546 1374855807136378091 -1.9543706 -0.4525676 0.15925781 
21499132024128 1374855807141352456 -1.9540769 -0.45255035 0.15885161 
21499138952252 1374855807146387857 -1.9539833 -0.45251966 0.15846118 
21499146521305 1374855807151423257 -1.9537876 -0.45248607 0.15811338 
21499153113707 1374855807156519692 -1.9535594 -0.452444 0.15782903 
21499160194433 1374855807161524575 -1.9530569 -0.45241892 0.15763077 
21499171639572 1374855807166529458 -1.9527754 -0.45240864 0.15752539 
21499177652086 1374855807171564858 -1.9524324 -0.45243174 0.15751335 
21499183389916 1374855807176661294 -1.9521573 -0.45246407 0.15761125 
21499191447294 1374855807181635659 -1.9516369 -0.4525254 0.15781172 
21499197307205 1374855807186701577 -1.9513937 -0.45260602 0.15808053 
21499203472320 1374855807192225259 -1.9511644 -0.4527226 0.15842283 
21499208813385 1374855807196802896 -1.950883 -0.45286945 0.1587193 
21499215497347 1374855807201807778 -1.9503337 -0.45303997 0.15906227 
21499220655290 1374855807206843179 -1.9501307 -0.45317364 0.15944986 
21499226026875 1374855807211878579 -1.9500602 -0.4532183 0.15985113 
21499234206335 1374855807216975015 -1.9501073 -0.45311004 0.16020684 
21499240066246 1374855807220698159 -1.9499887 -0.45288208 0.16045165 
21499245498872 1374855807226954263 -1.9504392 -0.45224988 0.1609376 
21499250717856 1374855807232020181 -1.9509009 -0.45159146 0.16140094 
21499257523899 1374855807237086099 -1.9513929 -0.45089793 0.16196601 
21499263414331 1374855807242090982 -1.9516294 -0.45031348 0.16262445 
21499268846957 1374855807247126382 -1.9519678 -0.449992 0.16331884 
21499274310105 1374855807252161782 -1.9520956 -0.45003617 0.16401199 
21499279468047 1374855807257227700 -1.9519813 -0.45048267 0.16466482 
21499285266918 1374855807262202065 -1.9514595 -0.45127374 0.1652398 
21499292011920 1374855807267237466 -1.9509437 -0.45238644 0.16571009 
21499297322465 1374855807272303384 -1.9502962 -0.4536993 0.16606003 
