#SysTm EventTmStmp Grav:x Grav:y Grav:z
524477881143207 1379851642230747902 -0.022990637 0.03665567 9.806555 
524477945968477 1379851642294010842 -0.022832202 0.035677996 9.806559 
524478010915830 1379851642357914650 -0.02247158 0.035543937 9.80656 
524478080776961 1379851642421086037 -0.023209034 0.034927752 9.8065605 
524478145388589 1379851642485050881 -0.02449311 0.03436632 9.80656 
524478207863793 1379851642548161232 -0.025770273 0.032356028 9.806563 
524478264997929 1379851642612126076 -0.026163043 0.03244973 9.806561 
524478328724467 1379851642675297463 -0.027778214 0.033671707 9.806553 
524478402370126 1379851642739567482 -0.029336806 0.03386958 9.806547 
524478469026619 1379851642802616799 -0.028721321 0.034806795 9.806546 
524478515722788 1379851642865116799 -0.028548913 0.03526976 9.806545 
524478579601927 1379851642929600441 -0.028901063 0.03543403 9.806543 
524478643389506 1379851642993504250 -0.029088331 0.035450283 9.806543 
524478715356545 1379851643056736672 -0.028500983 0.035465304 9.806544 
524478774413464 1379851643120732033 -0.027803784 0.0347296 9.806549 
524478845037605 1379851643184025490 -0.02755561 0.03519788 9.806548 
524478910595365 1379851643248112404 -0.028889552 0.034358792 9.806547 
524478992725688 1379851643311192238 -0.02908287 0.034620993 9.806545 
524479024985721 1379851643374973976 -0.029375521 0.03560147 9.806541 
524479088254453 1379851643438145363 -0.028633188 0.03534986 9.806544 
524479166661291 1379851643502079689 -0.029475829 0.035624348 9.806541 
524479215341284 1379851643565489118 -0.029605847 0.034745045 9.806544 
524479287033640 1379851643629423445 -0.028463066 0.03458625 9.806548 
524479353384929 1379851643692777937 -0.027268557 0.03532391 9.806548 
524479406551417 1379851643756590193 -0.026443006 0.034970894 9.806552 
524479471040964 1379851643819761579 -0.02675945 0.035285845 9.80655 
524479533455125 1379851643883726423 -0.026915269 0.035945363 9.806547 
524479597181661 1379851643946867292 -0.027427781 0.033887908 9.806553 
524479670613678 1379851644010862654 -0.02739336 0.03381666 9.806554 
524479731623903 1379851644073545759 -0.026856747 0.034630563 9.806552 
524479800783066 1379851644138304060 -0.025374435 0.03423388 9.806558 
524479863685554 1379851644201322859 -0.025548857 0.03537835 9.806553 
524479927534172 1379851644265409773 -0.027601834 0.037045192 9.806541 
524479980853262 1379851644328459089 -0.02691444 0.035759035 9.806548 
524480046807788 1379851644392254678 -0.026808638 0.034489688 9.806553 
524480105773147 1379851644455426065 -0.025451496 0.03548709 9.806553 
524480173803057 1379851644519390909 -0.025239363 0.03423667 9.806558 
524480233317782 1379851644582592813 -0.025430739 0.035638683 9.806552 
524480297227442 1379851644646557657 -0.025350183 0.03563584 9.806553 
524480360038368 1379851644709729044 -0.026288532 0.035258614 9.806552 
524480475405376 1379851644773938028 -0.026623787 0.036050603 9.806548 
524480514013647 1379851644837017862 -0.027047873 0.036004387 9.806546 
524480552744000 1379851644900830118 -0.026923679 0.03482943 9.806551 
524480615554926 1379851644963970987 -0.024929002 0.034787368 9.806557 
524480680685401 1379851645027966348 -0.024645304 0.034865733 9.806558 
524480760953979 1379851645091107218 -0.025150642 0.034942195 9.806556 
524480805177998 1379851645155102579 -0.024592448 0.03450368 9.806559 
524480868202568 1379851645218243448 -0.024596674 0.03612519 9.806553 
524480932508993 1379851645282208292 -0.025106555 0.037204478 9.806548 
524480995258879 1379851645345379678 -0.026191143 0.035904814 9.80655 
524481074154040 1379851645409588663 -0.025777118 0.036751214 9.806547 
524481122559351 1379851645472546427 -0.027169887 0.035751387 9.806547 
524481186774215 1379851645536572305 -0.026785597 0.034732167 9.806552 
524481249798783 1379851645599682657 -0.027063109 0.03330662 9.806557 
524481318164418 1379851645663616983 -0.026055772 0.034422476 9.806556 
524481382135118 1379851645726788370 -0.027169885 0.03492589 9.80655 
524481449920865 1379851645790783731 -0.02866261 0.034359843 9.806548 
524481514044167 1379851645853955118 -0.02849713 0.03461375 9.806547 
524481568156787 1379851645917858927 -0.029107014 0.035728063 9.806542 
524481631456039 1379851645981334037 -0.02864072 0.035586473 9.806543 
524481695182578 1379851646045237846 -0.029109137 0.035338413 9.806543 
524481763304048 1379851646108500785 -0.029021457 0.034859594 9.806545 
524481833958710 1379851646172435112 -0.029200124 0.034185678 9.806547 
524481892588346 1379851646235759086 -0.028348424 0.033827405 9.806551 
524481955307711 1379851646299815483 -0.02834439 0.03527498 9.806545 
524482024649996 1379851646362895317 -0.02757901 0.034298547 9.806551 
524482083401713 1379851646426951713 -0.027016541 0.03442472 9.806552 
524482140566372 1379851646489909477 -0.02664616 0.035302196 9.80655 
524482203590941 1379851646553843803 -0.02399827 0.034902904 9.806559 
524482266768111 1379851646616984672 -0.025650578 0.034794733 9.806555 
524482343496328 1379851646680949516 -0.023911873 0.03550548 9.806557 
524482406795580 1379851646744365043 -0.021978388 0.034886993 9.806563 
524482472383860 1379851646808360405 -0.023266884 0.035091076 9.80656 
524482533668768 1379851646871546963 -0.02492315 0.03527167 9.806556 
524482585339758 1379851646935328701 -0.025647648 0.034800265 9.806555 
524482648364326 1379851646998500088 -0.026547484 0.035006013 9.806552 
524482712121385 1379851647062434414 -0.026224298 0.035443317 9.806551 
524482780792222 1379851647125636319 -0.027321832 0.035588086 9.806548 
524482851599486 1379851647189570645 -0.027249012 0.03546654 9.806548 
524482909862877 1379851647253016690 -0.027813392 0.034852132 9.806549 
524482980670141 1379851647316981533 -0.027734589 0.03442358 9.80655 
524483041527764 1379851647380091885 -0.027909826 0.034913097 9.806548 
524483114196769 1379851647444209317 -0.027064683 0.035607893 9.806548 
524483157993503 1379851647507045010 -0.025808053 0.03598337 9.80655 
524483221414838 1379851647571009854 -0.02769847 0.035436675 9.806547 
524483283951081 1379851647634150723 -0.02687475 0.035070002 9.80655 
524483352530357 1379851647698146084 -0.027897887 0.035622597 9.806546 
524483427457871 1379851647761470059 -0.02705561 0.034987856 9.806551 
