#SysTm EventTmStmp Grav:x Grav:y Grav:z
41700622914010 41700620141000 -0.62169045 1.6089324 9.6537695 
41700689377510 41700686778000 -1.2082721 1.2123655 9.656118 
41700755843553 41700753437000 -0.55752605 1.8905987 9.606519 
41700822486969 41700820129000 -0.736401 1.7826946 9.615099 
41700888947719 41700886746000 -0.49673584 1.1468657 9.726682 
41700967882386 41700953439000 -0.12282391 2.1459801 9.568181 
41701022307136 41701020109000 -0.31378528 1.5957747 9.6708555 
41701089871844 41701086773000 -0.22962822 1.5429558 9.681786 
41701156423011 41701153596000 -0.18592262 1.8746932 9.623998 
41701222345511 41701220085000 0.44494835 1.8941729 9.611689 
41701289000177 41701286781000 -0.546827 1.2341924 9.713298 
41701355749260 41701353461000 0.5370831 1.2200255 9.715631 
41701424702552 41701420128000 0.046792194 2.2157118 9.552948 
41701490214970 41701486825000 0.37085828 1.1627736 9.730407 
41701556765428 41701554402000 0.22016235 1.3097681 9.716298 
41701626731928 41701620262000 -0.09670864 1.752034 9.64839 
41701689652344 41701686843000 0.26123026 1.5995429 9.671795 
41701756634094 41701753455000 0.1024433 1.5892502 9.676476 
41701822805761 41701820153000 0.043989826 2.023817 9.595448 
41701889842677 41701886855000 -0.039493147 2.0767987 9.584142 
41701955641178 41701953443000 -0.118645065 1.8256754 9.634482 
41702023809178 41702020160000 0.31181785 2.321727 9.522749 
41702090439303 41702086779000 0.43228406 2.6509504 9.431648 
41702155551136 41702153435000 1.0502682 1.4464874 9.642355 
41702223772344 41702220192000 1.5512393 2.578846 9.333467 
41702290765427 41702286871000 1.2518425 2.175619 9.479979 
41702355512302 41702353434000 1.7191015 2.0550706 9.433546 
41702423715844 41702420218000 1.7069577 2.3902023 9.356476 
41702489789052 41702486864000 1.5075212 2.4897397 9.364773 
41702555830927 41702553436000 1.4105593 2.6667693 9.33108 
41702624489969 41702620476000 1.7276139 2.2668352 9.383348 
41702689783970 41702686840000 1.4590892 2.5269604 9.362474 
41702755898054 41702753464000 1.3216375 2.8891237 9.277749 
41702823395803 41702820153000 1.4024597 2.085888 9.479059 
41702890083303 41702886853000 0.93951756 2.2731063 9.493194 
41702955523136 41702953437000 0.9327957 2.6311514 9.400922 
41703022586386 41703020116000 0.9805255 2.4283986 9.450494 
41703091519427 41703086868000 0.8408745 2.4232101 9.465274 
41703157969094 41703154181000 0.87315214 2.7719417 9.366128 
41703225231969 41703220164000 0.3841424 2.811118 9.387249 
41703289869052 41703286821000 0.70480496 2.7905295 9.374784 
41703357667719 41703353478000 0.3924192 2.7559912 9.403239 
41703423078387 41703420187000 0.3317557 3.2000046 9.263924 
41703490760429 41703486835000 0.52412105 2.4400465 9.483768 
41703556830429 41703553487000 0.36131096 2.7679663 9.40097 
41703624326470 41703621357000 0.43189007 2.7597654 9.400402 
41703690565096 41703687015000 0.36146352 2.4972432 9.476473 
41703756097845 41703753432000 0.76656884 2.7760954 9.374225 
41703822204887 41703820105000 0.38325763 2.8135912 9.386544 
41703888802679 41703886772000 0.48236457 2.9259036 9.347555 
41703956160304 41703953465000 0.5794568 2.6831055 9.414647 
41704022367429 41704020133000 0.4931709 2.7334788 9.4050665 
41704089363512 41704086792000 0.44698134 3.1452813 9.277813 
41704155718721 41704153421000 0.5026106 2.3517833 9.507202 
41704222313595 41704220143000 0.44567442 2.8056786 9.386157 
41704289180137 41704286807000 0.40940458 2.6293032 9.438726 
41704357745137 41704353637000 0.4317071 2.6561077 9.430223 
41704424280512 41704420183000 0.7652202 2.742977 9.384078 
41704489014720 41704486805000 0.72017103 2.593699 9.429977 
41704557119554 41704553483000 0.7352966 2.7137694 9.394956 
41704622507095 41704620123000 0.80083185 2.7005422 9.39341 
41704689250554 41704686807000 0.95088124 2.4836142 9.439169 
41704757542512 41704753536000 0.8961976 3.222589 9.218578 
41704822488804 41704820115000 1.1551085 2.2434964 9.476437 
41704889084179 41704886795000 1.0519792 2.8434494 9.326229 
41704967101929 41704953575000 1.1142951 2.7336445 9.351787 
41705026258888 41705020197000 1.1008657 2.4425397 9.433582 
41705089093221 41705086783000 1.1634129 2.7318215 9.346338 
41705156619430 41705153449000 1.330947 2.7081878 9.330846 
41705223365929 41705220127000 0.6844129 2.544611 9.446 
41705289262554 41705286782000 1.3352787 2.552686 9.373966 
41705356224805 41705353498000 0.7124971 2.4266496 9.474922 
41705422495138 41705420141000 0.9248775 2.737358 9.371333 
41705489772888 41705486788000 0.7304867 1.9297984 9.58711 
41705556117263 41705553444000 0.5241099 2.2200353 9.537671 
41705623091888 41705620139000 0.43671072 2.183147 9.550579 
41705689496013 41705686850000 0.56008106 2.1269 9.556829 
41705760378638 41705753441000 0.40499085 2.230688 9.540984 
41705822865138 41705820153000 0.3241583 2.2748234 9.533651 
41705889633846 41705887310000 0.16422848 2.6883428 9.42954 
41705957478763 41705953960000 0.6793919 2.618766 9.426077 
41706022657888 41706020122000 0.18387145 2.5185008 9.475957 
41706088989513 41706086800000 0.42427814 3.4064248 9.186219 
41706156568305 41706153452000 0.54348767 2.1204188 9.559228 
41706240050430 41706221710000 0.5967001 2.844418 9.366091 
41706302285305 41706286820000 0.4065899 2.7799306 9.395588 
41706374575513 41706357339000 0.467182 2.6033182 9.443245 
41706448289763 41706420201000 0.58722025 2.8881557 9.353292 
41706511574555 41706486868000 0.23753549 3.104369 9.299294 
41706585513805 41706553442000 0.38853496 3.323662 9.218064 
41706635967097 41706620154000 0.38858643 3.2346857 9.24966 
41706694851138 41706686800000 0.42811415 2.7791014 9.3948765 
41706765650430 41706753582000 0.19358683 3.7069345 9.076979 
41706838872763 41706820182000 0.34899595 2.5360484 9.466628 
41706893024805 41706886776000 0.23941532 2.8538876 9.3791485 
41706985829805 41706953570000 0.28560615 2.993014 9.334383 
41707047916097 41707020143000 0.32709405 2.7844188 9.397362 
41707108733930 41707086773000 0.30824226 2.8698163 9.372275 
41707184176596 41707153476000 0.24667935 3.0481985 9.31762 
41707223119430 41707220141000 0.27058005 3.0806422 9.306278 
41707294959846 41707289014000 0.04301599 3.063712 9.315696 
41707358951763 41707354508000 0.3615187 2.8676484 9.371034 
41707422927013 41707420175000 0.034928616 3.411803 9.193953 
41707491849722 41707488140000 0.13878933 2.8084457 9.394879 
41707555964930 41707553437000 0.3929993 2.779745 9.39622 
41707622775388 41707620159000 0.23468609 3.1731908 9.276109 
41707689951764 41707686851000 0.23340672 2.9434884 9.351566 
41707757567972 41707753475000 0.36141092 3.0545826 9.311782 
41707827689931 41707820268000 0.41788155 3.1167593 9.288788 
41707891773056 41707887060000 0.384885 3.0447586 9.314059 
41707966047556 41707953998000 0.21419254 3.1963387 9.268655 
41708025909431 41708021312000 0.19901845 3.1721556 9.277297 
41708089614222 41708086822000 0.5829481 2.98666 9.322577 
41708156278264 41708153822000 -0.26683205 3.5692909 9.130135 
41708223542806 41708220212000 0.49960038 2.4268582 9.488475 
41708291963431 41708286853000 0.10532776 2.5268962 9.474919 
41708356039264 41708353453000 0.4730989 2.7661564 9.396541 
41708422549889 41708420156000 0.51858044 2.3221157 9.513635 
41708489551639 41708486811000 0.7131111 2.6527147 9.414083 
41708556288848 41708553449000 0.5766583 2.6626277 9.420629 
41708623520056 41708620165000 0.62948215 2.8909397 9.349686 
41708689617431 41708686806000 -0.17251101 2.7830677 9.40187 
41708756973431 41708753465000 1.1105447 3.4873004 9.098123 
41708822586431 41708820231000 -0.6563236 2.3589318 9.496057 
41708891120598 41708887540000 0.25482872 4.0350866 8.934401 
41708956006848 41708953518000 0.025470834 2.3598523 9.518447 
41709024662431 41709020780000 0.046538427 3.3882308 9.202614 
41709089560306 41709086838000 -0.07065341 3.1793215 9.276709 
41709168590515 41709153579000 0.071199246 3.1162543 9.29808 
41709226246807 41709220163000 -0.13932247 3.293802 9.235901 
41709289677639 41709287006000 -0.36641553 3.5180526 9.146554 
41709357183223 41709354640000 -0.21569607 3.7279165 9.067884 
41709424189306 41709420322000 -0.6723223 2.999484 9.312436 
41709489551056 41709487223000 -0.951494 3.8279138 8.978427 
41709555725557 41709553474000 -1.253338 3.364212 9.125877 
41709623800098 41709621105000 -1.010401 3.066252 9.259999 
41709689488265 41709686796000 -1.3551894 3.4548132 9.077342 
41709756569265 41709753446000 -1.2465926 3.40614 9.111237 
41709823054307 41709820167000 -1.0307983 3.309939 9.173449 
41709890205932 41709887102000 -1.0205334 3.5053456 9.1017275 
41709956627515 41709953475000 -1.0793254 3.5028582 9.0959015 
41710022510640 41710020176000 -1.2216194 3.5151122 9.073148 
41710089673723 41710086829000 -0.6559794 3.6829588 9.065093 
41710157255723 41710154017000 -0.7806855 3.2335048 9.225258 
41710223487140 41710220152000 -0.96088743 3.9861672 8.908287 
41710289189640 41710286837000 -0.42099205 3.279854 9.232318 
41710356578265 41710353469000 -0.6502598 3.452541 9.155737 
41710423766557 41710420605000 -0.5142858 3.7254045 9.05689 
41710489246432 41710486834000 -0.60335696 3.3309212 9.2038765 
41710556202224 41710553449000 -0.5307716 3.495798 9.147027 
41710623112265 41710620112000 -0.5521262 3.5491383 9.125195 
41710690200599 41710686846000 -0.123509586 3.3504336 9.215733 
41710760195932 41710753445000 -0.14263898 3.0825658 9.308482 
41710823476224 41710820212000 0.08742466 2.0516074 9.589247 
41710892231849 41710889749000 -0.0387058 3.1836426 9.2754135 
41710956254599 41710953501000 0.4333326 1.5250162 9.67765 
41711022733016 41711020167000 0.41501907 1.6428446 9.659154 
41711089306140 41711086817000 0.2736711 2.135531 9.567393 
41711172348515 41711153497000 0.24500057 1.9291949 9.6118965 
41711222785515 41711220156000 0.24147889 2.1888456 9.556203 
