#SysTm EventTmStmp Light
36540988454886 36540972589000 16.0 
36541019795219 36540982497000 16.0 
36541024174302 36540993220000 16.0 
36541028188094 36541002514000 16.0 
36541032140719 36541012587000 16.0 
36541065823761 36541022492000 16.0 
36541069729219 36541032490000 16.0 
36541074104427 36541042781000 16.0 
36541078056594 36541053005000 16.0 
36541126341219 36541063635000 16.0 
36541130746136 36541073043000 16.0 
36541137124802 36541083143000 16.0 
36541140854219 36541092546000 16.0 
36541146074011 36541102544000 16.0 
36541150479136 36541112530000 16.0 
36541155925678 36541122532000 16.0 
36541189000261 36541132530000 13.0 
36541192710011 36541142518000 13.0 
36541197781719 36541152518000 13.0 
36541201958386 36541162533000 13.0 
36541206030511 36541172541000 16.0 
36541209045719 36541182565000 16.0 
36541240508136 36541192545000 16.0 
36541245549469 36541203707000 16.0 
36541249773886 36541212509000 8.0 
36541253673344 36541222588000 8.0 
36541259025177 36541232615000 8.0 
36541305797094 36541242543000 8.0 
36541310211635 36541252540000 20.0 
36541314248343 36541262546000 20.0 
36541318848385 36541274507000 20.0 
36541323051302 36541282655000 20.0 
36541326280844 36541292553000 16.0 
36541354374843 36541302736000 16.0 
36541360401219 36541312504000 16.0 
36541364505052 36541322507000 16.0 
36541368792593 36541332514000 16.0 
36541372456093 36541342574000 16.0 
36541377551635 36541352592000 16.0 
36541406511385 36541362505000 16.0 
36541410522969 36541372505000 16.0 
36541414286593 36541382514000 16.0 
36541418590177 36541392543000 16.0 
36541446248260 36541402728000 16.0 
36541451465760 36541412519000 16.0 
36541455282677 36541422506000 16.0 
36541461125552 36541432502000 16.0 
36541464775177 36541442514000 16.0 
36541509039177 36541452509000 16.0 
36541515460344 36541470844000 16.0 
36541522850594 36541482802000 16.0 
36541529741302 36541493029000 20.0 
36541535778219 36541503611000 20.0 
36541577302303 36541513888000 20.0 
36541580296012 36541522518000 20.0 
36541584337594 36541532527000 16.0 
36541588232636 36541542584000 16.0 
36541593960636 36541552550000 16.0 
36541597045970 36541562748000 16.0 
36541644197636 36541574271000 16.0 
36541648489470 36541582659000 16.0 
36541654546928 36541592573000 16.0 
36541659444928 36541602537000 16.0 
36541665160970 36541612544000 16.0 
36541669560344 36541623258000 16.0 
36541675245637 36541633226000 16.0 
36541709234344 36541644712000 16.0 
36541714734011 36541652539000 5.0 
36541719320886 36541662538000 5.0 
36541724180803 36541672527000 5.0 
36541728683678 36541682536000 5.0 
36541733090095 36541693796000 18.0 
36541737893970 36541702573000 18.0 
36541769809636 36541714004000 18.0 
36541775136928 36541722546000 18.0 
36541779225594 36541732551000 18.0 
36541783222178 36541742549000 5.0 
36541788249553 36541752541000 5.0 
36541792657553 36541762602000 5.0 
36541825390803 36541772709000 5.0 
36541833301136 36541783694000 13.0 
36541838368720 36541792535000 13.0 
36541842682511 36541802555000 13.0 
36541847061511 36541812647000 13.0 
36541851448970 36541822562000 13.0 
36541923920011 36541832548000 13.0 
36541929300136 36541842540000 13.0 
36541933857428 36541852540000 13.0 
36541938403261 36541862541000 13.0 
36541944112636 36541872529000 13.0 
36541949493428 36541882605000 13.0 
36541954623511 36541892577000 13.0 
36541959804553 36541902606000 16.0 
36541965931220 36541912642000 16.0 
36542000660637 36541922598000 16.0 
36542005099428 36541932580000 16.0 
36542009372428 36541942577000 18.0 
36542013698428 36541952570000 18.0 
36542017516636 36541962579000 18.0 
36542021328512 36541972590000 18.0 
36542025057220 36541982574000 13.0 
36542029708553 36541992681000 13.0 
36542064151011 36542002500000 13.0 
36542068693678 36542012495000 13.0 
36542072457928 36542022495000 15.0 
36542077045137 36542032503000 15.0 
36542080802053 36542042492000 15.0 
36542081184428 36542052493000 15.0 
36542108051636 36542062948000 18.0 
36542126923470 36542072500000 18.0 
36542135100553 36542082502000 18.0 
36542147417970 36542092506000 18.0 
36542156967595 36542102508000 15.0 
36542186538970 36542112620000 15.0 
36542190868553 36542122489000 15.0 
36542194855428 36542132517000 15.0 
36542198851428 36542142506000 20.0 
36542203302303 36542152521000 20.0 
36542207111595 36542162545000 20.0 
36542210476928 36542172504000 20.0 
36542214151386 36542182510000 18.0 
36542245424720 36542192493000 18.0 
36542249797928 36542202508000 18.0 
36542256085720 36542225959000 15.0 
36542299164011 36542242660000 15.0 
36542304844761 36542252507000 15.0 
36542308942220 36542262508000 20.0 
36542313138386 36542272503000 20.0 
36542317190845 36542282522000 20.0 
36542322338053 36542295525000 20.0 
36542354969678 36542314546000 11.0 
36542358921011 36542322503000 11.0 
36542362704803 36542332497000 11.0 
36542366574512 36542342558000 15.0 
36542396682137 36542352503000 15.0 
36542401461678 36542362834000 15.0 
36542405202887 36542372515000 15.0 
36542409195928 36542382505000 20.0 
36542413488720 36542392504000 20.0 
36542442717262 36542402507000 20.0 
36542446535970 36542412508000 20.0 
36542450397762 36542422502000 20.0 
36542454451928 36542432844000 15.0 
36542483449303 36542442662000 15.0 
36542488443928 36542452500000 15.0 
36542492479928 36542462519000 15.0 
36542498100011 36542472597000 16.0 
36542507804012 36542482839000 16.0 
36542552693928 36542492498000 16.0 
36542556574428 36542502526000 16.0 
36542558415678 36542512500000 15.0 
36542562753595 36542522562000 15.0 
36542566514137 36542532717000 15.0 
36542570447679 36542542649000 15.0 
36542601046595 36542552502000 20.0 
36542605484095 36542562568000 20.0 
36542609290845 36542572669000 20.0 
36542613153428 36542582735000 20.0 
36542617910970 36542592492000 20.0 
36542646201928 36542603050000 20.0 
36542650700845 36542612569000 20.0 
36542654526636 36542622527000 20.0 
36542658764928 36542632495000 13.0 
36542661609136 36542642714000 13.0 
36542690596136 36542652521000 13.0 
36542698037011 36542662618000 13.0 
36542701086719 36542672540000 8.0 
36542704800553 36542682578000 8.0 
36542736535053 36542692499000 8.0 
36542740701136 36542702502000 8.0 
36542747286178 36542712579000 20.0 
36542753073261 36542722563000 20.0 
36542760205761 36542732837000 20.0 
36542795440761 36542742527000 20.0 
36542801813636 36542753679000 15.0 
36542809382803 36542762744000 15.0 
36542817125011 36542772517000 15.0 
36542824962761 36542784275000 15.0 
36542883962553 36542792551000 18.0 
36542890308303 36542802532000 18.0 
36542897481136 36542812634000 18.0 
36542902786719 36542822522000 18.0 
36542909982303 36542832797000 18.0 
36542923156761 36542849830000 18.0 
36542928959553 36542862723000 18.0 
36542935133511 36542874512000 15.0 
36542940896845 36542882560000 15.0 
36542982495262 36542892532000 15.0 
36542988057137 36542902533000 15.0 
36542994899178 36542912718000 20.0 
36543000914095 36542922562000 20.0 
36543002995928 36542933371000 20.0 
36543007560095 36542942987000 20.0 
36543012187345 36542952562000 18.0 
36543017170428 36542962795000 18.0 
36543021321053 36542972684000 18.0 
36543066321345 36542982590000 18.0 
36543071773845 36542992551000 15.0 
36543075605845 36543002500000 15.0 
36543079246636 36543014503000 15.0 
36543083923512 36543022517000 15.0 
36543088681887 36543033329000 20.0 
36543090689970 36543042550000 20.0 
36543094479386 36543052603000 20.0 
36543125389970 36543062550000 20.0 
36543130985345 36543072500000 16.0 
36543135536512 36543084439000 16.0 
36543140036345 36543092497000 16.0 
36543143368345 36543102591000 16.0 
36543147985678 36543112727000 16.0 
36543153306970 36543122576000 16.0 
36543182512595 36543132588000 16.0 
36543186652553 36543142493000 16.0 
36543190995304 36543153385000 16.0 
36543194817428 36543162725000 18.0 
36543199596053 36543172645000 18.0 
36543231161636 36543182532000 18.0 
36543236726969 36543192514000 18.0 
36543240470386 36543202529000 18.0 
36543244233094 36543212576000 18.0 
36543249006636 36543223074000 18.0 
36543316786887 36543232534000 18.0 
36543330963012 36543242512000 20.0 
36543338822887 36543252511000 20.0 
36543343454345 36543262525000 20.0 
36543348939137 36543272510000 20.0 
36543353851595 36543282504000 11.0 
36543358341345 36543292510000 11.0 
36543362975137 36543302544000 11.0 
36543368324387 36543312538000 11.0 
36543403014219 36543322550000 7.0 
36543406721094 36543332536000 7.0 
36543412418428 36543342544000 7.0 
36543418104219 36543352537000 7.0 
36543421935053 36543362552000 20.0 
36543425610845 36543372568000 20.0 
36543429489136 36543382551000 20.0 
36543434669428 36543392560000 20.0 
36543462121636 36543402515000 11.0 
36543467176928 36543412988000 11.0 
36543471662136 36543422499000 11.0 
36543475780011 36543433282000 11.0 
36543480476886 36543442507000 16.0 
36543484206178 36543452563000 16.0 
36543525611678 36543462988000 16.0 
36543531886720 36543472498000 16.0 
36543535870095 36543482500000 18.0 
36543539724553 36543492495000 18.0 
36543543595678 36543502564000 18.0 
36543547899928 36543512701000 18.0 
36543552210136 36543524230000 15.0 
36543585255345 36543532751000 15.0 
36543589324344 36543542925000 15.0 
36543597258636 36543552495000 15.0 
36543601011095 36543562496000 16.0 
36543603986803 36543573046000 16.0 
36543634041844 36543582515000 16.0 
36543641215303 36543594437000 16.0 
36543644198469 36543602507000 20.0 
36543648363261 36543612516000 20.0 
