#SysTm EventTmStmp Acc:x Acc:y Acc:z
28183714131995 28183437215000 0.24899697 3.2561142 9.203311 
28183717823954 28183447639000 0.22984336 3.265691 9.078813 
28183721567829 28183458497000 0.22026655 3.2561142 9.011775 
28183725707829 28183467786000 0.22026655 3.217807 8.944737 
28183727459079 28183477873000 0.21068975 3.2465374 8.896853 
28183731044912 28183488089000 0.22026655 3.2465374 8.829816 
28183735691329 28183498386000 0.21068975 3.3039982 8.916007 
28183739989829 28183508147000 0.21068975 3.2944214 8.983045 
28183743874662 28183518142000 0.21068975 3.3039982 9.11712 
28183788738579 28183528285000 0.15322891 3.3135753 9.14585 
28183801937704 28183538277000 0.21068975 3.3327289 9.155427 
28183806735287 28183548346000 0.22026655 3.323152 9.088389 
28183810587496 28183558474000 0.21068975 3.2561142 9.069236 
28183814574079 28183568556000 0.21068975 3.169923 9.050082 
28183820665621 28183578639000 0.24899697 3.1794999 9.002198 
28183826465371 28183588757000 0.24899697 3.1507695 8.944737 
28183832164704 28183598858000 0.22026655 3.169923 8.925584 
28183836776829 28183608875000 0.22984336 3.169923 8.954314 
28183854028329 28183618904000 0.21068975 3.2369606 8.983045 
28183859512287 28183630144000 0.22026655 3.2561142 9.059659 
28183872863662 28183639908000 0.18195933 3.2561142 9.021352 
28183876632454 28183650032000 0.17238252 3.2848446 9.11712 
28183880191496 28183660100000 0.16280572 3.2944214 9.155427 
28183884233079 28183670189000 0.24899697 3.2848446 9.184157 
28183887860496 28183680286000 0.23942018 3.2752678 9.174581 
28183889662662 28183690711000 0.23942018 3.265691 9.165004 
28183893329871 28183700473000 0.25857377 3.2752678 9.107543 
28183897316662 28183710664000 0.25857377 3.2561142 9.078813 
28183901233704 28183720668000 0.25857377 3.2465374 9.107543 
28183905050829 28183730692000 0.21068975 3.265691 9.088389 
28183908644329 28183740784000 0.23942018 3.3039982 8.983045 
28183913241412 28183751104000 0.23942018 3.2944214 8.954314 
28183916881579 28183761225000 0.2777274 3.2273839 9.002198 
28183922918204 28183772737000 0.30645782 3.265691 9.011775 
28183926721662 28183783396000 0.2777274 3.2561142 9.021352 
28183956525037 28183793183000 0.22984336 3.2944214 9.059659 
28183969660079 28183802902000 0.23942018 3.2465374 9.078813 
28183973508079 28183812792000 0.25857377 3.2561142 9.069236 
28183974761662 28183822639000 0.2873042 3.2848446 9.011775 
28183978805204 28183832753000 0.30645782 3.2752678 8.992621 
28183982717287 28183842961000 0.25857377 3.2752678 8.992621 
28183987676454 28183854558000 0.22984336 3.265691 9.059659 
28183990879871 28183863083000 0.24899697 3.2369606 9.078813 
28183995274996 28183873164000 0.24899697 3.217807 9.011775 
28184000064413 28183884672000 0.23942018 3.2273839 9.021352 
28184004149412 28183894515000 0.21068975 3.2273839 9.021352 
28184007836454 28183904522000 0.22984336 3.2273839 9.059659 
28184011816787 28183915130000 0.22984336 3.265691 9.088389 
28184015655204 28183924388000 0.22026655 3.265691 9.11712 
28184020156038 28183934141000 0.25857377 3.2465374 9.136273 
28184023902829 28183944257000 0.25857377 3.2369606 9.107543 
28184055189621 28183954680000 0.24899697 3.2369606 9.011775 
28184059359621 28183966055000 0.2873042 3.2561142 8.963891 
28184064241121 28183975424000 0.2681506 3.2561142 8.925584 
28184068949371 28183986128000 0.25857377 3.265691 8.954314 
28184073282287 28183995500000 0.25857377 3.2561142 9.050082 
28184076831037 28184005131000 0.24899697 3.2082303 9.078813 
28184082576121 28184015920000 0.24899697 3.2273839 9.069236 
28184087291662 28184025959000 0.24899697 3.2273839 9.155427 
28184090916204 28184035571000 0.23942018 3.2273839 9.232041 
28184094555829 28184045707000 0.24899697 3.217807 9.14585 
28184123969704 28184055673000 0.2873042 3.2082303 9.097966 
28184131105288 28184066392000 0.24899697 3.217807 9.040505 
28184142947787 28184075816000 0.2777274 3.2465374 8.992621 
28184155152454 28184086170000 0.30645782 3.2561142 8.992621 
28184158924079 28184096074000 0.2873042 3.2369606 8.973468 
28184163852662 28184106418000 0.24899697 3.2369606 8.992621 
