#SysTm EventTmStmp Rot:x Rot:y Rot:z
41447927709473 41447923853000 0.0064121177 0.065003194 0.997332 
41447995267140 41447990572000 0.012181348 0.09341856 0.99468094 
41448062423014 41448057249000 0.0016524271 0.093033195 0.99540216 
41448128442264 41448123883000 0.012174225 0.07469546 0.9969502 
41448201210640 41448190879000 0.018482506 0.08970566 0.9957288 
41448261661098 41448257193000 0.015445247 0.09540488 0.99531806 
41448328989139 41448323899000 -0.008555427 -0.09794825 -0.99514294 
41448395905556 41448390606000 -0.013640972 -0.09546041 -0.99518174 
41448461203515 41448457193000 -0.009699641 -0.07484723 -0.9970816 
41448527885931 41448523850000 0.009342257 -0.11180473 -0.9931949 
41448595283348 41448590580000 0.0066615855 -0.06832772 -0.9968477 
41448664950598 41448657212000 0.019892054 -0.08164663 -0.9956564 
41448727356390 41448723801000 0.032138243 -0.0803187 -0.99536127 
41448794935765 41448790563000 0.026614258 -0.08409062 -0.9952799 
41448861657765 41448857180000 0.025085818 -0.07886844 -0.99602056 
41448929142931 41448923917000 0.01986301 -0.09228698 -0.99538296 
41448994670931 41448990553000 0.03334365 -0.09938074 -0.99447054 
41449064715098 41449058998000 -0.011817099 0.094971634 0.9951928 
41449130575724 41449123892000 -0.02964763 0.1373713 0.9898257 
41449196732598 41449190664000 -0.022005621 0.09340148 0.99531347 
41449263839723 41449257326000 0.0012355099 0.088679284 0.99581736 
41449330195306 41449323971000 -0.014739302 0.116011776 0.9930563 
41449398641431 41449391208000 -2.341564E-4 0.08678261 0.99621415 
41449462878056 41449457245000 0.011936282 0.08506565 0.9962633 
41449529266681 41449523911000 -0.01352899 -0.104687974 -0.9944105 
41449597939598 41449590629000 -0.02050834 -0.09077805 -0.9956559 
41449662805641 41449657251000 -0.0041116634 -0.10728693 -0.9942095 
41449729718766 41449723911000 -0.0064199935 -0.11936155 -0.9925182 
41449795381683 41449790560000 -0.018065847 -0.10612321 -0.9941432 
41449861214766 41449857193000 0.02543391 -0.13694051 -0.98908335 
41449927894933 41449923855000 0.0085812565 -0.096593864 -0.9942788 
41449995294557 41449990565000 0.018515006 -0.11177828 -0.9922989 
41450063333474 41450057245000 0.021955 -0.102816716 -0.9934988 
41450128152682 41450123875000 0.017533839 -0.097359344 -0.9946132 
41450195919224 41450190558000 0.0085296435 -0.10945909 -0.993775 
41450261074057 41450257201000 0.01623136 -0.107435256 -0.9940228 
41450330751807 41450323925000 0.025700824 -0.10720936 -0.9938975 
41450395830266 41450390659000 0.0020180792 0.10093504 0.9945399 
41450462424683 41450457218000 -0.014583405 0.1240579 0.99191815 
41450528753391 41450523925000 0.010558829 0.0914354 0.9953195 
41450597276682 41450590596000 0.021973811 0.085584104 0.99512136 
41450662134849 41450657205000 0.026363818 0.104277745 0.9933998 
41450728473765 41450723914000 0.035233837 0.09319014 0.99437755 
41450798326390 41450790636000 0.03957763 0.092670605 0.99423355 
41450861588474 41450857211000 0.032640863 0.10567978 0.99347466 
41450927601516 41450923875000 0.038701966 0.10217367 0.99363744 
41450995300682 41450990637000 0.02600358 0.12660769 0.9915696 
41451063721517 41451057329000 0.03293164 0.10253235 0.9940032 
41451128999225 41451123948000 0.016409092 0.1312199 0.99117357 
41451196817767 41451190598000 0.017648373 0.1048487 0.99431103 
41451263405975 41451257272000 0.02101485 0.10261616 0.9943065 
41451329242017 41451323908000 0.01454823 0.09951395 0.9946074 
41451394757600 41451390559000 0.009748258 0.09878188 0.9946412 
41451461270600 41451457218000 0.012340913 0.09238764 0.99467987 
41451534736933 41451523914000 0.0019975763 0.1048304 0.99330294 
41451602272017 41451590730000 1.699351E-4 0.09804184 0.9934129 
41451661341809 41451657212000 -0.008033118 0.1060314 0.9926037 
41451728035850 41451723853000 -0.006006058 0.07967996 0.99462503 
41451794073933 41451790520000 -0.0069275643 0.09582576 0.9925934 
41451861446434 41451857221000 -0.0123319775 0.10519456 0.9925609 
41451928009975 41451923858000 0.003257951 0.077434 0.9948483 
41451994564225 41451990538000 -8.278091E-4 0.09094801 0.9934859 
41452063233141 41452057302000 0.006186912 0.0957595 0.99361753 
41452127805391 41452123878000 0.011092017 0.08635153 0.9945731 
41452195480933 41452191795000 0.014333132 0.08830073 0.99456704 
41452266191100 41452257274000 0.019313404 0.09555882 0.9938989 
41452328451183 41452323882000 0.019387161 0.09931416 0.9936909 
41452394509141 41452390543000 0.004769107 0.11028612 0.99332297 
41452461177434 41452457312000 0.034238793 0.07561376 0.9953157 
41452529108850 41452523913000 -4.631979E-4 0.11635437 0.9927157 
41452597635017 41452590704000 0.00411814 0.0942788 0.995393 
41452661155101 41452657195000 0.0052491385 0.08684284 0.99602026 
41452729130392 41452723870000 -0.016173402 0.09323673 0.9954466 
41452795848685 41452790575000 -0.016530743 0.087812625 0.9959545 
41452861103268 41452857221000 -0.013483411 0.084081 0.9963028 
41452929495226 41452924033000 -0.016495632 0.09675826 0.9951338 
41452997412184 41452990750000 0.0015431095 0.091758125 0.9956516 
41453060991059 41453057204000 -0.0026209576 0.11885305 0.9926795 
41453128467017 41453123881000 0.008526642 0.11518202 0.99314594 
41453195259434 41453190624000 0.02884158 0.10507544 0.992863 
41453262576226 41453257228000 0.024564983 0.13834825 0.9895085 
41453330977309 41453324502000 0.035506856 0.08893192 0.994549 
41453395844934 41453390633000 0.034882788 0.10393254 0.9930363 
41453461478809 41453457225000 0.038315054 0.10333189 0.9931708 
41453528344559 41453523921000 0.03781043 0.10217434 0.99350536 
